Deyimler;Türkçe Anlamı
Dananın kuyruğu kopmak;Olay patlak vermek, beklenen ve korkulan sonucun gerçekleşmesi
Dara düşmek; Paraca sıkıntıya uğramak
Dar boğaz;Sıkıntılar ve güçlükler içinde geçirilen, geçici kabul edilip sonunda ferahlık umulan durum
Darda kalmak;Darda kalmak
Dar kafalı;"nlayışı, kavrayışı az; yeniliklere açık olmayan"
Defterden silmek;İlişkisini kesmek, yok saymak, adını anmaz olmak, unutmak
Defteri dürülmek; İşine son verilerek bir yerden uzaklaştırılmak
Defteri kapamak;İlgiyi kesmek, uğraşmaz olmak, söz konusu işi yapmaz olmak
Deli fişek;Atak, delişmen, delice işler yapan, şımarık
Deliksiz uyku;Hiç uyanmadan, çok rahat, uzun süre uyunulan uyku
Demir atmak;Bir yerde uzun süre kalmak
Denizden çıkmış balığa dönmek;Yeni bir işe, ortama, duruma alışmakta zorluk çekmek
Deveye hendek atlatmak;Birisine yapılması çok zor, hemen hemen yapamayacağı bir işi yaptırmaya çalışmak
Devlet kuşu;"Umulmadık, iyi talih; zenginlik, mutluluk getiren talih"
Dışı seni yakar, içi beni;Dıştan görünüşü, herkesi imrendirecek kadar güzel ama içyüzü elverişsiz, kötü, sahibini üzücü
Diken üstünde oturmak;Bir yerde tedirginlik duymak, her an kalkmak durumunu belirtir olmak, huzursuz olmak
Dikiş tutturamamak;Bir yerde, bir işte bir sebepten ötürü başarı sağlayamayıp uzun süre kalmamak
Dil dökmek;Kandırmak, inandırmak ya da yararlanmak için tatlı sözler söylemek
Dil uzatmak;Bir kimse veya bir şey için kötü söz söylemek
Dillere düşmek;Hakkında dedikodu yapılmak
Dile kolay;Söylenmesi kolay ama yapılması ortaya konması ya da katlanılması çok güç
Dili tutulmak;Herhangi bir sebepten ötürü söz söyleyemez duruma gelmek
Dili uzun;İncitici, kırıcı sözler söyleyen, saygısız kimse
Dili varmamak;Bir sözü söylemeye gönlü razı olmamak
Dilinden kurtulamamak;Yaptığı bir kabahatten ötürü sürekli olarak, bir kimsenin sitem, eleştiri ve sataşmalarına uğramak
Dilinde tüy bitmek;Sık sık söylemekten bıkmak, usanmak
Dilinin ucuna gelmek;Hatırladığı şeyi söyleyecekken yine unutuvermek
Dilini tutmak;Sonunu düşünerek gelişigüzel konuşmaktan sakınmak, ölçülü konuşmak, rast gele konuşmamak
Diline pelesenk etmek;Bir sözü her zaman, yerli yersiz tekrarlamak
Dinden imandan çıkmak;Çok sinirlenmek, öfkelenmek, kızgınlık duymak
Dini bütün;Dinin emirlerini eksiksiz yerine getirmeye çalışan, inancı sağlam olan, dinine çok bağlı
Dirsek çürütmek;Okumak, öğrenim görmek için uzun yıllar çalışmak
Diş bilemek;"Öç almak, kötülük yapmak için fırsat kollamak; öfkesini gösterir durum almak"
Diş geçirememek;Etkisiz kalmak, güç yetirememek, hükmünü yürütüp sözünü dinletememek
Dişe dokunur;Hatırı sayılır, işe yarar, belirtilmeye değer, önemli
Dişinden tırnağından artırmak;Yiyeceğinden, içeceğinden vb. ihtiyaçlarından keserek zorla biriktirmek
Dişine göre;Yapabileceği, gücünün yeteceği, becerebileceği, uygun bir durumda
Dişini sıkmak;"Darlığa, sıkıntıya dayanmak; her türlü zorluğa katlanmak"
Dize getirmek;Kendisine karşı geleni alt ederek buyruğunu dinler duruma getirmek, boyun eğdirmek
Dizginleri ele almak;Yönetimi ele geçirmek, işi kendisi yönetmeye başlamak
Dizini dövmek;Çok pişman olmak
Dizinin bağı çözülmek;Korkudan, heyecandan, yorgunluktan ayakta duramayacak hâle gelmek
Dokuz doğurmak;Merakla, heyecanla, sabırsızlıkla, sıkıntı çekerek beklemek
Dolap çevirmek;Hile, düzen ve dalavere ile iş yapmak
Dolu dizgin;Önüne geçilemeyecek biçimde, çok fazla olarak
Doluya koydum almadı, boşa koydum dolmadı;İçinden çıkılamayan güç bir durum
Dostlar alışverişte görsün;"Gösteriş olsun; amaç iş yapıyor görünmek, iş yapmak değil"
Dört ayak üstüne düşmek;Tehlikeli bir durumdan hiç zarar görmeden kurtulmak
Dört dönmek;Bir işi yapmak için korku, heyecan, telâş, şaşkınlık içinde sağa sola koşmak, çare aramak
Dört elle sarılmak;Yapacağı işe büyük bir önem verip özen göstererek girişmek
Dört gözle beklemek;Özleyerek, çok isteyerek, büyük bir sabırsızlıkla beklemek
Dudak bükmek;Umursamamak, beğenmemek, küçümsemek
Dudak ısırtmak;Hayran bırakmak
Dumanı üstünde;Çok taze
Dut yemiş bülbüle dönmek;"Susmak; konuşkanlığını, sevincini, neşesini yitirmek; sesi çıkmaz olmak"
Düğün evi gibi;Çok kalabalık ve telâşlı görülen yer
Dümen çevirmek;Düzen kurup, hileli iş yapmak
Dünya başına yıkılmak;Dara düşmek, felâkete uğramak, umutlarını yitirmek
Dünya gözü ile;Ölmeden önce, yaşarken
Dünyalar onun olmak;Oldukça çok sevinmek
Dünyanın kaç bucak olduğunu anlamak;Dünyada insanın başına neler gelebileceğini öğrenmek, zorluklarla karşılaşmak, tecrübe kazanmak
Dünyanın öbür ucu;Çok uzak yer
Dünyayı toz pembe görmek;İyimser olmak, üzücü durumlara bile iyi gözle bakmak
Düşe kalka;İşi kimi zaman iyi, kimi zaman kötü olarak güçlükle, uğraşa uğraşa (yapmak)
Düşman çatlatmak;Nisbet yapmak, iyi durum ve başarılarıyla düşmanı kızdırmak ve kıskandırmak
Ecel teri dökmek;Çok korkmak, heyecan içinde bulunup terlemek, korku ve bunalım içinde olmak
Eceline susamak;Ölümüne yol açacak kadar tehlikeli işlere girişmek
Eciş bücüş;Çarpuk çurpuk, eğri büğrü, düzgün yanı olmayan, çirkin bir biçim almış bulunan
Efkâr dağıtmak;Sıkıntıyı gidermek, üzüntüyü yok etmeye çalışmak
Ekmeğinden etmek;İşinden çıkarmak veya atmak
Ekmeğine yağ sürmek;Birinin yararına göre eylemde bulunmak, istemese de birinin işine yarayacak biçimde hareket etmek
Ekmeğini kazanmak;Geçimini temin edecek, ihtiyaçlarını karşılayacak parayı kazanmak
